DETROIT TRACON AREA       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ D21 CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.04.32.821 W082.57.30.257 N042.04.05.775 W082.57.47.598
                          N042.03.12.512 W082.58.24.464 N042.02.56.858 W082.58.35.703
                          N042.02.56.858 W082.58.35.703 N042.02.46.394 W082.58.44.162
                          N042.01.55.378 W082.59.26.366 N042.01.30.411 W082.59.48.604
                          N042.00.41.820 W083.00.35.653 N042.00.32.700 W083.00.44.691
                          N042.00.32.700 W083.00.44.691 N042.00.18.268 W083.01.00.491
                          N041.59.32.489 W083.01.52.340 N041.59.10.208 W083.02.19.213
                          N041.58.27.427 W083.03.15.476 N041.58.24.055 W083.03.19.963
                          N041.58.24.055 W083.03.19.963 N041.58.06.952 W083.03.44.803
                          N041.57.27.369 W083.04.45.086 N041.57.08.200 W083.05.15.954
                          N042.00.42.839 W083.43.25.334 N042.00.19.338 W083.43.00.389
                          N041.59.33.483 W083.42.08.670 N041.59.16.166 W083.41.48.178
                          N041.59.16.166 W083.41.48.178 N041.59.11.205 W083.41.41.805
                          N041.58.28.326 W083.40.45.685 N041.58.07.826 W083.40.16.382
                          N041.57.28.176 W083.39.16.162 N041.57.19.992 W083.39.03.450
                          N041.57.19.992 W083.39.03.450 N041.57.09.261 W083.38.45.027
                          N041.56.33.175 W083.37.40.933 N041.56.15.867 W083.37.08.156
                          N041.55.43.283 W083.36.00.780 N041.55.42.269 W083.35.58.666
                          N041.55.42.269 W083.35.58.666 N041.55.28.201 W083.35.26.098
                          N041.54.59.648 W083.34.15.555 N041.54.48.453 W083.33.46.188
                          N041.54.48.453 W083.33.46.188 N041.54.46.220 W083.33.39.682
                          N041.54.21.607 W083.32.26.522 N041.54.10.466 W083.31.49.272
                          N041.53.49.849 W083.30.33.947 N041.53.45.166 W083.30.16.162
                          N041.53.45.166 W083.30.16.162 N041.53.40.666 W083.29.55.771
                          N041.53.24.534 W083.28.38.520 N041.53.17.382 W083.27.59.566
                          N041.53.05.240 W083.26.41.016 N041.53.04.507 W083.26.36.140
                          N041.53.04.507 W083.26.36.140 N041.53.00.680 W083.26.01.377
                          N041.52.53.187 W083.24.41.808 N041.52.50.400 W083.24.06.274
                          N041.52.50.400 W083.24.06.274 N041.52.50.229 W083.24.01.903
                          N041.52.47.361 W083.22.41.787 N041.52.47.007 W083.22.01.683
                          N041.52.48.431 W083.20.41.516 N041.52.49.064 W083.20.20.614
                          N041.52.49.064 W083.20.20.614 N041.52.50.310 W083.20.01.498
                          N041.52.56.234 W083.18.41.689 N041.53.00.057 W083.18.01.907
                          N041.53.10.406 W083.16.42.907 N041.53.11.321 W083.16.36.243
                          N041.53.11.321 W083.16.36.243 N041.53.16.956 W083.16.03.772
                          N041.53.31.676 W083.14.46.019 N041.53.39.160 W083.14.09.841
                          N041.53.39.160 W083.14.09.841 N041.53.39.765 W083.14.07.395
                          N041.53.58.843 W083.12.51.337 N041.54.09.464 W083.12.13.821
                          N041.54.32.504 W083.10.59.762 N041.54.39.443 W083.10.38.489
