BUFFALO TRACON AREA       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ BUF CLASS C             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N043.06.23.374 W078.45.10.786 N043.06.19.503 W078.45.54.998
                          N043.06.19.503 W078.45.54.998 N043.06.13.869 W078.46.38.856
                          N043.06.13.869 W078.46.38.856 N043.06.06.496 W078.47.22.229
                          N043.06.06.496 W078.47.22.229 N043.05.57.400 W078.48.04.987
                          N043.05.57.400 W078.48.04.987 N043.05.46.610 W078.48.47.003
                          N043.05.46.610 W078.48.47.003 N043.05.34.156 W078.49.28.152
                          N043.05.34.156 W078.49.28.152 N043.05.20.079 W078.50.08.311
                          N043.05.20.079 W078.50.08.311 N043.05.04.420 W078.50.47.361
                          N043.05.04.420 W078.50.47.361 N043.04.47.226 W078.51.25.189
                          N043.04.47.226 W078.51.25.189 N043.04.28.545 W078.52.01.678
                          N043.04.28.545 W078.52.01.678 N043.04.08.434 W078.52.36.720
                          N043.04.08.434 W078.52.36.720 N043.03.46.954 W078.53.10.215
                          N043.03.46.954 W078.53.10.215 N043.03.24.169 W078.53.42.061
                          N043.03.24.169 W078.53.42.061 N043.03.00.147 W078.54.12.164
                          N043.03.00.147 W078.54.12.164 N043.02.34.956 W078.54.40.436
                          N043.02.34.956 W078.54.40.436 N043.02.08.676 W078.55.06.792
                          N043.02.08.676 W078.55.06.792 N043.01.41.381 W078.55.31.157
                          N043.01.41.381 W078.55.31.157 N043.01.13.150 W078.55.53.457
                          N043.01.13.150 W078.55.53.457 N043.00.44.075 W078.56.13.627
                          N043.00.44.075 W078.56.13.627 N043.00.14.237 W078.56.31.608
                          N043.00.14.237 W078.56.31.608 N042.59.43.725 W078.56.47.350
                          N042.59.43.725 W078.56.47.350 N042.59.12.629 W078.57.00.802
                          N042.59.12.629 W078.57.00.802 N042.58.41.043 W078.57.11.932
                          N042.58.41.043 W078.57.11.932 N042.58.09.057 W078.57.20.701
                          N042.58.09.057 W078.57.20.701 N042.57.36.768 W078.57.27.090
                          N042.57.36.768 W078.57.27.090 N042.57.04.275 W078.57.31.075
                          N042.57.04.275 W078.57.31.075 N042.57.04.275 W078.57.31.075
                          N042.55.19.429 W078.36.26.166 N042.55.15.849 W078.36.26.908
                          N042.55.15.849 W078.36.26.908 N042.55.12.592 W078.36.29.054
                          N042.55.12.592 W078.36.29.054 N042.55.09.942 W078.36.32.409
                          N042.55.09.942 W078.36.32.409 N042.55.08.135 W078.36.36.679
                          N042.55.08.135 W078.36.36.679 N042.55.07.337 W078.36.41.482
                          N042.55.07.337 W078.36.41.482 N042.55.07.611 W078.36.46.392
                          N042.55.07.611 W078.36.46.392 N042.55.08.940 W078.36.50.975
                          N042.55.08.940 W078.36.50.975 N042.55.11.199 W078.36.54.822
                          N042.55.11.199 W078.36.54.822 N042.55.14.195 W078.36.57.591
                          N042.55.14.195 W078.36.57.591 N042.55.17.656 W078.36.59.036
                          N042.55.17.656 W078.36.59.036 N042.55.21.275 W078.36.59.029
                          N042.55.21.275 W078.36.59.029 N042.55.24.731 W078.36.57.570
                          N042.55.24.731 W078.36.57.570 N042.55.27.719 W078.36.54.790
                          N042.55.27.719 W078.36.54.790 N042.55.29.973 W078.36.50.933
                          N042.55.29.973 W078.36.50.933 N042.55.31.290 W078.36.46.345
                          N042.55.31.290 W078.36.46.345 N042.55.31.555 W078.36.41.434
                          N042.55.31.555 W078.36.41.434 N042.55.30.745 W078.36.36.632
                          N042.55.30.745 W078.36.36.632 N042.55.28.932 W078.36.32.370
                          N042.55.28.932 W078.36.32.370 N042.55.26.274 W078.36.29.025
                          N042.55.26.274 W078.36.29.025 N042.55.23.009 W078.36.26.895
                          N042.55.23.009 W078.36.26.895 N042.55.19.429 W078.36.26.166
                          N042.55.19.429 W078.36.26.166 N042.55.19.429 W078.36.26.166
                          N042.51.43.345 W078.42.43.111 N042.51.39.768 W078.42.43.846
                          N042.51.39.768 W078.42.43.846 N042.51.36.505 W078.42.45.980
                          N042.51.36.505 W078.42.45.980 N042.51.33.854 W078.42.49.330
                          N042.51.33.854 W078.42.49.330 N042.51.32.043 W078.42.53.592
                          N042.51.32.043 W078.42.53.592 N042.51.31.240 W078.42.58.388
                          N042.51.31.240 W078.42.58.388 N042.51.31.510 W078.43.03.295
