PITTSBURGH TRACON AREA    N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ PIT CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N040.38.58.430 W080.11.13.382 N040.38.50.554 W080.10.31.967
                          N040.38.50.554 W080.10.31.967 N040.38.40.977 W080.09.51.176
                          N040.38.40.977 W080.09.51.176 N040.38.29.729 W080.09.11.127
                          N040.38.29.729 W080.09.11.127 N040.38.16.841 W080.08.31.943
                          N040.38.16.841 W080.08.31.943 N040.38.02.355 W080.07.53.734
                          N040.38.02.355 W080.07.53.734 N040.37.46.308 W080.07.16.618
                          N040.37.46.308 W080.07.16.618 N040.37.28.753 W080.06.40.700
                          N040.37.28.753 W080.06.40.700 N040.37.09.740 W080.06.06.090
                          N040.37.09.740 W080.06.06.090 N040.36.49.321 W080.05.32.885
                          N040.36.49.321 W080.05.32.885 N040.36.27.563 W080.05.01.187
                          N040.36.27.563 W080.05.01.187 N040.36.04.523 W080.04.31.084
                          N040.36.04.523 W080.04.31.084 N040.35.40.276 W080.04.02.669
                          N040.35.40.276 W080.04.02.669 N040.35.14.887 W080.03.36.023
                          N040.35.14.887 W080.03.36.023 N040.34.48.437 W080.03.11.225
                          N040.34.48.437 W080.03.11.225 N040.34.20.999 W080.02.48.347
                          N040.34.20.999 W080.02.48.347 N040.33.52.656 W080.02.27.455
                          N040.33.52.656 W080.02.27.455 N040.33.23.494 W080.02.08.612
                          N040.33.23.494 W080.02.08.612 N040.32.53.593 W080.01.51.870
                          N040.32.53.593 W080.01.51.870 N040.32.23.043 W080.01.37.280
                          N040.32.23.043 W080.01.37.280 N040.31.51.938 W080.01.24.881
                          N040.31.51.938 W080.01.24.881 N040.31.20.362 W080.01.14.711
                          N040.31.20.362 W080.01.14.711 N040.30.48.414 W080.01.06.796
                          N040.30.48.414 W080.01.06.796 N040.30.16.188 W080.01.01.164
                          N040.30.16.188 W080.01.01.164 N040.29.43.772 W080.00.57.825
                          N040.29.43.772 W080.00.57.825 N040.29.11.270 W080.00.56.790
                          N040.24.39.277 W080.02.23.138 N040.23.44.288 W080.00.03.255
                          N040.20.48.736 W080.06.55.642 N040.19.07.789 W080.05.30.198
                          N040.38.23.166 W080.51.31.836 N040.37.28.582 W080.51.53.330
                          N040.37.28.582 W080.51.53.330 N040.36.33.504 W080.52.12.536
                          N040.36.33.504 W080.52.12.536 N040.35.37.992 W080.52.29.440
                          N040.35.37.992 W080.52.29.440 N040.34.42.099 W080.52.44.024
                          N040.34.42.099 W080.52.44.024 N040.33.45.880 W080.52.56.277
                          N040.33.45.880 W080.52.56.277 N040.32.49.395 W080.53.06.183
                          N040.32.49.395 W080.53.06.183 N040.31.52.698 W080.53.13.743
                          N040.31.52.698 W080.53.13.743 N040.30.55.847 W080.53.18.941
                          N040.30.55.847 W080.53.18.941 N040.29.58.898 W080.53.21.781
                          N040.29.58.898 W080.53.21.781 N040.29.01.910 W080.53.22.257
                          N040.29.01.910 W080.53.22.257 N040.28.04.939 W080.53.20.373
                          N040.28.04.939 W080.53.20.373 N040.27.08.041 W080.53.16.132
                          N040.27.08.041 W080.53.16.132 N040.26.11.272 W080.53.09.539
                          N040.26.11.272 W080.53.09.539 N040.25.14.694 W080.53.00.604
                          N040.25.14.694 W080.53.00.604 N040.24.18.358 W080.52.49.336
                          N040.24.18.358 W080.52.49.336 N040.23.22.322 W080.52.35.746
                          N040.32.17.226 W080.26.31.433 N040.33.30.788 W080.31.31.014
                          N040.35.20.893 W080.39.01.372 N040.38.23.209 W080.51.32.011
                          N040.27.17.018 W080.26.54.358 N040.26.30.608 W080.32.03.015
                          N040.25.20.397 W080.39.45.775 N040.23.22.348 W080.52.35.584
                          N040.20.49.597 W079.36.19.829 N040.21.46.418 W079.35.59.275
                          N040.21.46.418 W079.35.59.275 N040.22.43.721 W079.35.41.153
                          N040.22.43.721 W079.35.41.153 N040.23.41.450 W079.35.25.484
                          N040.23.41.450 W079.35.25.484 N040.24.39.536 W079.35.12.288
                          N040.24.39.536 W079.35.12.288 N040.25.37.922 W079.35.01.579
                          N040.25.37.922 W079.35.01.579 N040.26.36.542 W079.34.53.372
                          N040.26.36.542 W079.34.53.372 N040.27.35.339 W079.34.47.677
                          N040.27.35.339 W079.34.47.677 N040.28.34.241 W079.34.44.500
                          N040.28.34.241 W079.34.44.500 N040.29.33.198 W079.34.43.850
                          N040.29.33.198 W079.34.43.850 N040.30.32.136 W079.34.45.726
                          N040.30.32.136 W079.34.45.726 N040.31.30.996 W079.34.50.131
                          N040.31.30.996 W079.34.50.131 N040.32.29.713 W079.34.57.061
                          N040.32.29.713 W079.34.57.061 N040.33.28.226 W079.35.06.508
                          N040.33.28.226 W079.35.06.508 N040.34.26.471 W079.35.18.466
                          N040.34.26.471 W079.35.18.466 N040.35.24.386 W079.35.32.924
                          N040.35.24.386 W079.35.32.924 N040.36.21.907 W079.35.49.867
                          N040.36.21.907 W079.35.49.867 N040.36.21.907 W079.35.49.867
                          N040.25.20.358 W080.39.45.738 N040.24.34.959 W080.39.32.703
                          N040.24.34.959 W080.39.32.703 N040.23.49.977 W080.39.17.385
                          N040.23.49.977 W080.39.17.385 N040.23.05.479 W080.38.59.807
                          N040.23.05.479 W080.38.59.807 N040.22.21.537 W080.38.39.999
                          N040.22.21.537 W080.38.39.999 N040.21.38.210 W080.38.17.989
                          N040.21.38.210 W080.38.17.989 N040.20.55.568 W080.37.53.810
                          N040.20.55.568 W080.37.53.810 N040.20.13.668 W080.37.27.506
                          N040.20.13.668 W080.37.27.506 N040.19.32.582 W080.36.59.110
                          N040.19.32.582 W080.36.59.110 N040.18.52.362 W080.36.28.667
                          N040.18.52.362 W080.36.28.667 N040.18.13.071 W080.35.56.225
                          N040.18.13.071 W080.35.56.225 N040.17.34.768 W080.35.21.831
                          N040.17.34.768 W080.35.21.831 N040.16.57.509 W080.34.45.540
                          N040.16.57.509 W080.34.45.540 N040.16.21.351 W080.34.07.404
                          N040.16.21.351 W080.34.07.404 N040.15.46.347 W080.33.27.481
                          N040.15.46.347 W080.33.27.481 N040.15.12.548 W080.32.45.831
                          N040.15.12.548 W080.32.45.831 N040.14.40.004 W080.32.02.518
                          N040.14.40.004 W080.32.02.518 N040.14.08.764 W080.31.17.604
                          N040.14.08.764 W080.31.17.604 N040.13.38.874 W080.30.31.158
                          N040.13.38.874 W080.30.31.158 N040.13.10.378 W080.29.43.252
                          N040.13.10.378 W080.29.43.252 N040.12.43.319 W080.28.53.950
                          N040.12.43.319 W080.28.53.950 N040.12.17.734 W080.28.03.332
                          N040.12.17.734 W080.28.03.332 N040.11.53.667 W080.27.11.472
                          N040.11.53.667 W080.27.11.472 N040.11.31.149 W080.26.18.446
                          N040.11.31.149 W080.26.18.446 N040.11.10.214 W080.25.24.331
                          N040.11.10.214 W080.25.24.331 N040.10.50.891 W080.24.29.210
                          N040.10.50.891 W080.24.29.210 N040.10.33.216 W080.23.33.164
                          N040.10.33.216 W080.23.33.164 N040.10.17.205 W080.22.36.276
                          N040.10.17.205 W080.22.36.276 N040.10.02.888 W080.21.38.631
                          N040.10.02.888 W080.21.38.631 N040.09.50.286 W080.20.40.311
                          N040.09.50.286 W080.20.40.311 N040.09.39.417 W080.19.41.406
                          N040.09.39.417 W080.19.41.406 N040.09.30.293 W080.18.42.002
                          N040.09.30.293 W080.18.42.002 N040.09.22.935 W080.17.42.185
                          N040.09.22.935 W080.17.42.185 N040.09.17.348 W080.16.42.047
                          N040.09.17.348 W080.16.42.047 N040.09.13.539 W080.15.41.671
                          N040.09.13.539 W080.15.41.671 N040.09.11.518 W080.14.41.153
                          N040.09.11.518 W080.14.41.153 N040.09.11.291 W080.13.40.576
                          N040.09.11.291 W080.13.40.576 N040.09.12.848 W080.12.40.033
                          N040.09.12.848 W080.12.40.033 N040.09.16.197 W080.11.39.612
                          N040.09.16.197 W080.11.39.612 N040.09.21.325 W080.10.39.404
                          N040.09.21.325 W080.10.39.404 N040.09.28.230 W080.09.39.495
                          N040.09.28.230 W080.09.39.495 N040.09.36.902 W080.08.39.976
                          N040.09.36.902 W080.08.39.976 N040.09.47.324 W080.07.40.935
                          N040.09.47.324 W080.07.40.935 N040.09.59.482 W080.06.42.456
                          N040.09.59.482 W080.06.42.456 N040.10.13.359 W080.05.44.630
                          N040.10.13.359 W080.05.44.630 N040.10.28.934 W080.04.47.539
                          N040.10.28.934 W080.04.47.539 N040.10.46.186 W080.03.51.268
                          N040.10.46.186 W080.03.51.268 N040.11.05.084 W080.02.55.902
                          N040.11.05.084 W080.02.55.902 N040.11.25.606 W080.02.01.520
                          N040.11.25.606 W080.02.01.520 N040.11.47.721 W080.01.08.207
                          N040.11.47.721 W080.01.08.207 N040.12.11.395 W080.00.16.036
                          N040.12.11.395 W080.00.16.036 N040.12.36.589 W079.59.25.093
                          N040.12.36.589 W079.59.25.093 N040.13.03.274 W079.58.35.447
                          N040.13.03.274 W079.58.35.447 N040.13.31.403 W079.57.47.172
                          N040.13.31.403 W079.57.47.172 N040.14.00.939 W079.57.00.345
                          N040.14.00.939 W079.57.00.345 N040.14.31.837 W079.56.15.031
                          N040.14.31.837 W079.56.15.031 N040.15.04.050 W079.55.31.298
                          N040.15.04.050 W079.55.31.298 N040.15.37.529 W079.54.49.213
                          N040.15.37.529 W079.54.49.213 N040.16.12.230 W079.54.08.841
                          N040.16.12.230 W079.54.08.841 N040.16.48.095 W079.53.30.240
                          N040.16.48.095 W079.53.30.240 N040.17.25.076 W079.52.53.468
                          N040.17.25.076 W079.52.53.468 N040.18.03.115 W079.52.18.582
                          N040.18.03.115 W079.52.18.582 N040.18.42.158 W079.51.45.631
                          N040.18.42.158 W079.51.45.631 N040.19.22.144 W079.51.14.671
                          N040.19.22.144 W079.51.14.671 N040.20.03.013 W079.50.45.744
                          N040.20.03.013 W079.50.45.744 N040.20.44.709 W079.50.18.896
                          N040.20.44.709 W079.50.18.896 N040.21.27.167 W079.49.54.166
                          N040.21.27.167 W079.49.54.166 N040.22.10.324 W079.49.31.597
                          N040.22.10.324 W079.49.31.597 N040.22.54.115 W079.49.11.217
                          N040.22.54.115 W079.49.11.217 N040.23.38.475 W079.48.53.064
                          N040.23.38.475 W079.48.53.064 N040.23.38.475 W079.48.53.064
                          N040.34.00.003 W079.48.34.999 N040.34.44.755 W079.48.50.539
                          N040.34.44.755 W079.48.50.539 N040.35.29.016 W079.49.08.340
                          N040.35.29.016 W079.49.08.340 N040.36.12.723 W079.49.28.369
                          N040.36.12.723 W079.49.28.369 N040.36.55.806 W079.49.50.602
